"Class Group","Student's Gender","Average Course Evaluation Rating","Likes (tokenized)","Likes (stemmed)"
"A","Male",4.8182,"taught","taught"
"A","Male",4.8182,"assessment","assess"
"A","Male",4.8182,"helping","help"
"A","Male",4.8182,"learn","learn"
"A","Male",4.4545,"unit","unit"
"A","Male",4.4545,"nice","nice"
"A","Male",4.4545,"learn","learn"
"A","Male",4.4545,"labs","lab"
"A","Female",4.0909,"manuals","manual"
"A","Female",4.0909,"lecturer","lectur"
"A","Female",4.0909,"guides","guid"
"A","Female",4.2727,"detailed","detail"
"A","Female",4.5455,"teaching","teach"
"A","Female",4.5455,"detailed","detail"
"A","Male",5,"real","real"
"A","Male",5,"world","world"
"A","Male",5,"applicationsthe","applicationsth"
"A","Male",5,"manner","manner"
"A","Male",5,"structured","structur"
"A","Female",4.9091,"actual","actual"
"A","Female",4.9091,"examples","exampl"
"A","Female",4.9091,"understanding","understand"
"A","Female",4.9091,"hands","hand"
"A","Female",4.9091,"labs","lab"
"A","Female",4.9091,"theory","theori"
"A","Female",4.9091,"easier","easier"
"A","Female",4.9091,"understand","understand"
"A","Male",4.2727,"easy","easi"
"A","Male",4.2727,"understand","understand"
"A","Male",4.2727,"prsented","prsent"
"A","Male",4.2727,"fluent","fluent"
"A","Male",4.2727,"manner","manner"
"A","Male",4.7273,"engaging","engag"
"A","Female",5,"understadable","understad"
"A","Female",4.2727,"churn","churn"
"A","Female",4.2727,"customer","custom"
"A","Female",4.2727,"prediction","predict"
"A","Female",4.2727,"lecturer","lectur"
"A","Female",4.2727,"confirms","confirm"
"A","Female",4.2727,"understood","understood"
"A","Female",4.2727,"topic","topic"
"A","Male",4.7273,"assist","assist"
"A","Female",4.5455,"lecturer","lectur"
"A","Female",4.5455,"explains","explain"
"A","Female",4.5455,"concepts","concept"
"A","Female",4.5455,"unit","unit"
"A","Male",4,"data","data"
"A","Male",4,"entry","entri"
"A","Male",4,"intergation","interg"
"A","Male",5,"broad","broad"
"A","Male",5,"focuses","focus"
"A","Male",5,"business","busi"
"A","Male",5,"aspect","aspect"
"A","Male",5,"technological","technolog"
"A","Male",5,"wise","wise"
"A","Male",5,"detailed","detail"
"A","Male",5,"information","inform"
"A","Male",5,"project","project"
"A","Male",5,"knowledge","knowledg"
"A","Male",5,"businesses","busi"
"A","Male",5,"method","method"
"A","Male",5,"delivery","deliveri"
"A","Male",5,"lecturer","lectur"
"A","Male",5,"understanding","understand"
"A","Male",5,"ensures","ensur"
"A","Male",5,"concept","concept"
"A","Male",3.9091,"labs","lab"
"A","Male",3.9091,"lectures","lectur"
"A","Male",4.4545,"teacher","teacher"
"A","Male",4.4545,"method","method"
"A","Male",4.4545,"teaching","teach"
"A","Female",5,"topics","topic"
"A","Female",5,"explained","explain"
"A","Female",5,"lecturer","lectur"
"A","Male",4.1818,"understanding","understand"
"A","Male",4.1818,"lecturer","lectur"
"A","Male",4.1818,"lectures","lectur"
"A","Male",4.1818,"conveyed","convei"
"A","Female",4.8182,"knowledge","knowledg"
"A","Female",4.8182,"delivered","deliv"
"A","Female",4.7273,"quizz","quizz"
"A","Female",4.7273,"topic","topic"
"A","Female",4.7273,"learn","learn"
"A","Female",4.7273,"hundle","hundl"
"A","Male",4.9091,"quizzes","quizz"
"A","Male",4.9091,"topic","topic"
"A","Male",4.9091,"makes","make"
"A","Male",4.9091,"revise","revis"
"A","Male",4.9091,"advance","advanc"
"B","Male",4.9091,"detailed","detail"
"B","Male",4.9091,"understandable","understand"
"B","Male",4.7273,"systematic","systemat"
"B","Male",4.7273,"explained","explain"
"B","Male",4.1818,"lecturer","lectur"
"B","Male",4.1818,"workthe","workth"
"B","Male",4.1818,"notes","note"
"B","Male",4.1818,"provided","provid"
"B","Male",4.1818,"comprehensive","comprehens"
"B","Male",4.8182,"unit","unit"
"B","Male",4.8182,"informative","inform"
"B","Male",4.8182,"engaging","engag"
"B","Male",4.8182,"2the","2the"
"B","Male",4.8182,"description","descript"
"B","Male",4.8182,"career","career"
"B","Male",4.8182,"path","path"
"B","Female",4.6364,"notes","note"
"B","Female",4.6364,"lecture","lectur"
"B","Female",4.6364,"explains","explain"
"B","Male",4.3636,"constant","constant"
"B","Male",4.3636,"testing","test"
"B","Male",4.3636,"labs","lab"
"B","Male",4.3636,"understand","understand"
"B","Male",4.7273,"applied","appli"
"B","Male",4.7273,"market","market"
"B","Male",4.7273,"practicality","practic"
"B","Male",4.7273,"unit","unit"
"B","Male",4.7273,"ties","ti"
"B","Male",4.7273,"project","project"
"B","Female",5,"delivery","deliveri"
"B","Female",5,"content","content"
"B","Female",4.5455,"labs","lab"
"B","Female",4.5455,"insights","insight"
"B","Female",4.5455,"lecturers","lectur"
"B","Female",4.5455,"teaching","teach"
"B","Female",4.5455,"method","method"
"B","Male",4.8182,"content","content"
"B","Male",4.8182,"delivery","deliveri"
"B","Male",4.8182,"written","written"
"B","Male",4.8182,"notesslides","notesslid"
"B","Male",4.8182,"revision","revis"
"B","Male",4.8182,"class","class"
"B","Male",4.8182,"video","video"
"B","Female",4.8182,"helpful","help"
"B","Female",4.8182,"responses","respons"
"B","Female",4.8182,"lecturer","lectur"
"B","Female",4.8182,"interactive","interact"
"B","Female",4.8182,"sessions","session"
"B","Female",4.8182,"learning","learn"
"B","Female",4.8182,"purposes","purpos"
"B","Female",4.4545,"lecturer","lectur"
"B","Female",4.4545,"explain","explain"
"B","Female",4.4545,"contents","content"
"B","Female",4.4545,"easy","easi"
"B","Female",4.4545,"talk","talk"
"B","Female",4.4545,"questions","question"
"B","Female",4.4545,"understood","understood"
"B","Male",4.6364,"understandable","understand"
"B","Male",3.9091,"interactive","interact"
"B","Male",3.9091,"informing","inform"
"B","Female",4,"easy","easi"
"B","Female",4,"understand","understand"
"B","Female",4,"explained","explain"
"B","Male",4,"mode","mode"
"B","Male",4,"delivery","deliveri"
"B","Female",4.5455,"lecturers","lectur"
"B","Female",4.5455,"responding","respond"
"B","Female",4.5455,"questions","question"
"B","Female",4.5455,"concepts","concept"
"B","Female",4.5455,"developed","develop"
"B","Female",4.5455,"topic","topic"
"B","Male",4.3636,"topics","topic"
"B","Male",4.3636,"notes","note"
"B","Male",4.3636,"developed","develop"
"B","Female",4.3636,"lecture","lectur"
