"Class Group","Student's Gender","Average Course Evaluation Rating","Wishes (tokenized)","Wishes (stemmed)"
"A","Male",4.4545,"enjoying","enjoi"
"A","Female",4.0909,"recommend","recommend"
"A","Female",4.0909,"lecturer","lectur"
"A","Female",4.5455,"learning","learn"
"A","Female",4.5455,"materials","materi"
"A","Female",4.5455,"revision","revis"
"A","Female",4.5455,"papers","paper"
"A","Male",5,"emphasis","emphasi"
"A","Male",5,"labs","lab"
"A","Male",5,"develop","develop"
"A","Male",5,"understanding","understand"
"A","Male",5,"models","model"
"A","Male",5,"concepts","concept"
"A","Male",5,"practice","practic"
"A","Female",4.9091,"stuck","stuck"
"A","Female",4.9091,"labs","lab"
"A","Female",4.9091,"assistance","assist"
"A","Female",4.9091,"understand","understand"
"A","Female",4.9091,"nice","nice"
"A","Male",4.7273,"student","student"
"A","Male",4.7273,"involvement","involv"
"A","Female",5,"reduce","reduc"
"A","Female",5,"slides","slide"
"A","Male",4.7273,"manuals","manual"
"A","Male",4.7273,"week","week"
"A","Male",4.7273,"complete","complet"
"A","Female",4.5455,"quizzes","quizz"
"A","Male",5,"practical","practic"
"A","Male",5,"assignments","assign"
"A","Male",5,"quizzes","quizz"
"A","Male",5,"moment","moment"
"A","Male",3.9091,"reduce","reduc"
"A","Male",3.9091,"amount","amount"
"A","Male",3.9091,"coursework","coursework"
"A","Female",5,"perfectooo","perfectooo"
"A","Male",4.1818,"satisfied","satisfi"
"A","Female",4.7273,"comment","comment"
"B","Male",4.7273,"flexibility","flexibl"
"B","Male",4.7273,"operations","oper"
"B","Male",4.7273,"cats","cat"
"B","Male",4.1818,"lecturer","lectur"
"B","Male",4.1818,"lively","live"
"B","Male",4.1818,"interactive","interact"
"B","Male",4.1818,"class","class"
"B","Male",4.1818,"examples","exampl"
"B","Male",4.1818,"understand","understand"
"B","Male",4.1818,"concepts","concept"
"B","Male",4.1818,"complex","complex"
"B","Female",4.6364,"short","short"
"B","Female",4.6364,"precise","precis"
